stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0210TUH,3223,24900,102281
0210TYE,3340,19774,57496
0210UIK,0,0,0
0210UKO,0,0,0
0210/US,2522,13401,51041
0210USG,184,1156,5255
0210UWT,1766,13291,63298
0210UYU,7721,39104,165334
0210VIS,8366,59217,241837
0210VNA,3340,18023,58434
0210WDH,222,1602,10691
0210WOK,2329,15353,56632
0210WPE,8179,57767,235483
0210WTH,0,0,0
0210YPS,0,0,0
0210ZMM,1113,5819,20512
0211AAA,298,1708,6644
0211AAJ,0,0,0
0211AAW,321,1787,10702
0211ACB,377,2359,9438
0211ACD,7824,47634,178088
0211ADI,321,1903,12021
0211AEC,0,0,0
0211AEP,0,0,0
0211AFY,72,603,2803
0211AGA,1384,10362,43441
0211AGC,8239,58380,237833
0211AHN,291,1785,7141
0211AIC,0,0,156
0211AIK,0,0,0
0211AKW,0,0,0
0211ALN,527,3337,13298
0211ALS,3145,26391,117189
0211AMN,184,1156,4526
0211'AN,0,0,0
0211ANN,1183,8630,62673
0211ANP,1133,8512,62211
0211ANS,1358,8427,29520
0211.AP,184,1156,4624
0211ARS,1680,11818,49622
0211ASP,3272,26737,115696
0211AUR,1240,7043,32027
0211AVA,8261,56098,233770
0211AWA,307,1905,12184
0211BHC,7824,47655,178670
0211BLA,0,0,0
0211BLR,332,1765,7319
0211B/O,1067,6679,27338
0211B/W,469,3023,10138
0211BYP,0,0,0
0211CID,533,3412,15391
0211CKS,0,0,532
0211CLA,184,1042,3705
0211CTT,1067,6716,27229
0211CYE,1750,11732,48341
0211DBR,0,0,0
0211DEV,10146,62548,246218
0211DRN,5322,30418,142728
0211DRV,3872,27147,132134
0211EAR,1742,11712,48383
0211EIN,4068,27647,134102
0211EKO,377,2359,9438
0211END,0,0,0
0211ERC,0,0,0
0211EVE,79,572,4836
0211FLY,0,0,0
0211FNT,6809,26947,80117
0211G'F,0,0,0
0211GIT,2419,12454,36746
0211GNK,1240,7244,32134
0211GRF,1068,6786,27343
0211HIA,184,1156,4624
0211HIP,0,0,0
0211HNE,0,0,0
0211HNT,1358,8493,29059
0211HNU,184,1156,4624
0211HWS,988,6516,44074
0211IAU,1159,8649,63346
0211IBR,0,0,0
0211IEV,3757,26860,131399
0211IGB,1419,9273,66119
0211IGH,2488,13307,38911
0211IHH,1240,7095,26850
0211IIU,0,0,0
0211INS,0,0,0
0211INT,7022,45507,180710
0211IRA,0,0,0
0211IUS,72,451,1805
0211IVE,4062,27631,134049
0211IVO,7255,36540,161359
0211I/Y,3934,27866,131458
0211JKT,0,0,0
0211JUJ,0,0,0
0211KAH,323,2123,13491
0211KAZ,184,1156,4624
0211KCA,3702,26767,129565
0211KDO,0,0,0
0211KEI,1240,6803,30411
0211KEO,363,1531,4575
0211KIP,1686,11849,49722
0211KIU,0,0,0
0211KMJ,2356,15597,66951
0211KNI,9968,67452,270796
0211KPO,0,0,0
0211KRD,0,0,0
0211KRE,322,1765,6747
0211KRM,14813,69987,160324
0211KST,0,0,0
0211K.U,286,1686,6588
0211LIB,4642,25612,78940
0211LIT,72,451,2240
0211LMU,0,0,0
0211LND,1067,6788,27367
0211LOA,777,4956,52992
0211LTI,5120,30881,140153
0211MBS,1072,13302,84560
0211MEV,0,0,0
0211MNG,0,0,0
0211MOO,0,0,0
0211MRT,2237,12437,48975
0211MTG,2984,23814,102078
0211MUU,0,0,0
0211NAS,3340,17971,58190
0211NDA,8121,56340,231908
0211NDK,1023,20925,74599
0211NGE,0,0,0
0211NGI,1160,8567,62356
0211NGR,1240,7704,26484
0211NIC,1752,11730,48050
0211NIJ,515,3267,13279
0211NIV,799,4676,16374
0211NNO,1358,8413,29524
0211NOR,1358,8358,29897
0211NPA,1172,8621,62790
0211NRD,0,0,0
0211NUK,1237,7033,31346
0211NYS,3848,27634,130981
0211ODO,0,0,0
0211/OE,1240,7396,28541
0211OEO,9944,65419,279070
0211OIN,0,0,0
0211OOD,2064,12893,48463
0211OOU,1957,12597,48194
0211OSL,3307,26680,119926
0211OTL,0,0,0
0211PCA,0,0,0
0211PIO,1240,7355,28446
0211POA,3111,25988,119906
0211POL,6591,34719,150751
0211PSE,7824,48516,177894
0211RIA,7824,48649,180391
0211RIT,0,0,0
0211RMT,2217,12390,48891
0211RMU,0,0,0
